school,subject,course,ID,"Disciplinary
Belonging.Score.pre","Disciplinary
Belonging.Score.Range.pre","Disciplinary
Belonging.Score.SD.pre",Community_1.pre,Community_2.pre,Community_3.pre,"Disciplinary
Belonging.Score.post","Disciplinary
Belonging.Score.Range.post","Disciplinary
Belonging.Score.SD.post",Community_1.post,Community_2.post,Community_3.post,"Disciplinary
Belonging.Score.diff",Self-Efficacy.Score.pre,Self-Efficacy.Score.Range.pre,Self-Efficacy.Score.SD.pre,Efficacy_1.pre,Efficacy_2.pre,Efficacy_3.pre,Efficacy_4.pre,Efficacy_5.pre,Self-Efficacy.Score.post,Self-Efficacy.Score.Range.post,Self-Efficacy.Score.SD.post,Efficacy_1.post,Efficacy_2.post,Efficacy_3.post,Efficacy_4.post,Efficacy_5.post,Self-Efficacy.Score.diff,"Social
Belonging.Score.mid","Social
Belonging.Score.Range.mid","Social
Belonging.Score.SD.mid",SocialBelongingMid_1.mid,SocialBelongingMid_2.mid,SocialBelongingMid_3.mid,SocialBelongingMid_4.mid,SocialBelongingMid_5.mid,SocialBelongingMid_6.mid,SocialBelongingMid_7.mid,SocialBelongingMid_8.mid,SocialBelongingMid_9.mid,SocialBelongingMid_10.mid,"Course
Climate.Score.mid","Course
Climate.Score.Range.mid","Course
Climate.Score.SD.mid",Climate1Mid_1.mid,Climate1Mid_2.mid,Climate1Mid_3.mid,Climate1Mid_4.mid,Climate1Mid_5.mid,Climate1Mid_6.mid,Climate1Mid_7.mid,Climate1Mid_8.mid,Climate1Mid_9.mid,Climate2Mid_1.mid,Climate2Mid_2.mid,Climate2Mid_3.mid,Climate2Mid_4.mid,Climate2Mid_5.mid,Climate2Mid_6.mid,Climate2Mid_7.mid,Climate2Mid_8.mid,Climate2Mid_9.mid,Climate3Mid_1.mid,Climate3Mid_2.mid,Climate3Mid_3.mid,Climate3Mid_4.mid,Climate3Mid_5.mid,Climate3Mid_6.mid,Climate3Mid_7.mid,Climate3Mid_8.mid,Major,Major_9_TEXT,CourseInfluMaj_1,DiscPicture.pre,DiscPicture.post,survey,BarriersClosed1_1,BarriersClosed1_2,BarriersClosed1_3,BarriersClosed1_4,BarriersClosed1_5,BarriersClosed1_6,BarriersClosed2_7,BarriersClosed2_8,BarriersClosed2_9,BarriersClosed2_10,BarriersClosed2_11,BarriersClosed2_12,IndigenousIdentity,TwoSpirit,GeographicOrigin,RaceIdentity,RaceIdentity_10_TEXT,Racialization,ParentEducation,GenderIdentity,GenderIdentity_5_TEXT,TransIdentity,TransIdentity_4_TEXT,SexualIdentity,SexualIdentity_7_TEXT,LanguagesSchool,LanguagesSchool_18_TEXT,LanguagesHome,LanguagesHome_18_TEXT,WhenCanada,DisabilitySpecific,DisabilitySpecific_9_TEXT,DisabilityImpacts1,DisabilityImpacts1_6_TEXT,DisabilityImpacts2,DisabilityImpacts2_13_TEXT,PaidWork_5,Enrichment_1,Commuting_1,PersonalCommitments_1,NonExam,TermExam,FinalExam,TotalGrade,WeightedExam,Other,section
TRU,Chemistry,CHEM 1510,069bff214edf2382,5.666666666666667,1,0.5773502691896258,5,6,6,4.333333333333333,3,1.5275252316519465,3,6,4,-1.333333333333334,4,3,1.224744871391589,2,5,4,5,4,3.2,3,1.0954451150103321,2,5,3,3,3,-0.7999999999999998,4.2,3,1.1352924243950935,5,5,4,6,5,5,3,3,3,3,6.461538461538462,6,1.6304789291682176,7,7,7,6,7,1,7,7,6,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,"biological sciences (e.g. biochemistry, biology, biotechnology, botany, ecology, evolution, molecular biology, neuroscience, physiology)",NA,2,Smart and put together,Good grades,3,2,7,5,7,3,5,4,4,2,2,3,5,Yes,I am not certain,Indigenous from Canada,"Indigenous (examples: First Nations, Métis, Inuit descent),White (examples: European descent including German, Scottish, etc.)",NA,Yes,At least one of my parents/guardians has completed a university degree,Woman,NA,No,NA,Bisexual,NA,English,NA,English,NA,Kindergarten or earlier,"Mental health condition (e.g., depression, anxiety, etc.)",NA,My accessibility and support need(s) at school,NA,"Concentrating, learning, and/or remembering,Emotional, mental, or psychological health/wellbeing,Energy and fatigue",NA,17,12,3,15,54.55172413793103,59,38.93129770992366,57.1,47.617684478371494,100,02
TRU,Chemistry,CHEM 1510,0719b751c4c6d873,3.6666666666666665,2,1.1547005383792515,3,5,3,5,3,1.7320508075688772,3,6,6,1.3333333333333335,7,0,0,7,7,7,7,7,7,0,0,7,7,7,7,7,0,3.5,5,2.173067468400883,6,6,2,6,2,1,6,2,2,2,6.346153846153846,6,1.647842412181643,7,7,7,7,7,1,7,7,7,7,7,7,6,7,7,7,1,7,7,7,7,7,6,7,5,6,"biological sciences (e.g. biochemistry, biology, biotechnology, botany, ecology, evolution, molecular biology, neuroscience, physiology)",NA,0,.,NA,3,0,5,5,5,5,5,5,5,5,5,5,5,No,NA,NA,"Black (examples: African, Afro-Caribbean, African-Canadian descent)",NA,Yes,At least one of my parents/guardians has completed a university degree,Man,NA,No,NA,Heterosexual/Straight,NA,English,NA,English,NA,University or equivalent,Prefer not to answer,NA,NA,NA,NA,NA,14,NA,NA,NA,80.01724137931035,96,107.63358778625954,98.95675572519083,103.68320610687023,100,01
TRU,Chemistry,CHEM 1510,08f017c4868b56a7,5.666666666666667,1,0.5773502691896258,6,5,6,NA,NA,NA,NA,NA,NA,NA,5.6,1,0.5477225575051661,5,6,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,4,1.3374935098492586,5,4,5,1,5,3,3,5,3,3,6.115384615384615,5,1.2108483993274493,7,6,7,6,6,7,7,7,6,7,6,7,7,7,6,7,2,7,6,6,6,7,5,6,4,4,NA,NA,NA,Someone smart and driven,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,"White (examples: European descent including German, Scottish, etc.)",NA,No,At least one of my parents/guardians has completed a university degree,Woman,NA,No,NA,Heterosexual/Straight,NA,"English,French",NA,"English,French",NA,Kindergarten or earlier,"Mental health condition (e.g., depression, anxiety, etc.)",NA,None of the above,NA,"Concentrating, learning, and/or remembering,Energy and fatigue",NA,1,5,3,8,46.89655172413793,44,39.69465648854962,49.63479643765903,41.81933842239186,66.66666666666666,01
TRU,Chemistry,CHEM 1510,170c935dad79b5ff,6.333333333333333,2,1.1547005383792517,7,5,7,NA,NA,NA,NA,NA,NA,NA,6.6,2,0.8944271909999159,7,7,7,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"People who love experimenting with mixtures, inventors who like getting different smells, flavors, even medicine out of nature. Surprisingly, many rule followers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,"White (examples: European descent including German, Scottish, etc.)",NA,No,At least one of my parents/guardians has completed a university degree,Woman,NA,No,NA,Heterosexual/Straight,NA,"English,Russian",NA,"Russian,Not listed. Please specify (optional):",kazakh,University or equivalent,I don't have a disability or ongoing medical condition,NA,NA,NA,NA,NA,0,10,20,4,71.1551724137931,84,73.2824427480916,80.4,78.3587786259542,33.33333333333333,02
TRU,Chemistry,CHEM 1510,181332b1edc9b936,5.333333333333333,1,0.5773502691896258,5,5,6,NA,NA,NA,NA,NA,NA,NA,6.2,1,0.44721359549995787,6,7,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,3,1.2292725943057183,6,6,4,3,5,5,3,4,3,3,5.538461538461538,4,0.8593378488473195,6,6,6,5,6,6,5,6,6,6,6,5,5,5,5,6,6,6,5,6,6,6,5,6,6,2,NA,NA,NA,"A chemistry student involved in a club perhaps, or a laboratory technician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,"White (examples: European descent including German, Scottish, etc.)",NA,No,At least one of my parents/guardians has completed a university degree,Man,NA,No,NA,Heterosexual/Straight,NA,English,NA,English,NA,Kindergarten or earlier,"Mental health condition (e.g., depression, anxiety, etc.)",NA,None of the above,NA,"Concentrating, learning, and/or remembering",NA,8,4,3,3,70.22413793103449,82,87.78625954198473,85.01769083969467,86.10687022900763,100,01
TRU,Chemistry,CHEM 1510,1b0f7abd2273fb37,5.333333333333333,3,1.5275252316519465,4,7,5,NA,NA,NA,NA,NA,NA,NA,5.8,3,1.3038404810405297,4,6,5,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Those that are interested in doing field work on different research areass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,"Black (examples: African, Afro-Caribbean, African-Canadian descent)",NA,I am not certain,At least one of my parents/guardians has completed a university degree,Man,NA,No,NA,Heterosexual/Straight,NA,"English,Not listed. Please specify (optional):",Swahili,Not listed. Please specify (optional):,Swahili,University or equivalent,Blind/Visually impaired,NA,None of the above,NA,"Concentrating, learning, and/or remembering,Energy and fatigue,Executive functioning (i.e., planning, focussing, prioritizing tasks, managing time, etc.)",NA,15,9,6,0,55.0344827586207,53,55.72519083969466,60.3,55.05407124681933,33.33333333333333,02
TRU,Chemistry,CHEM 1510,1f2cdf15b952717f,6,0,0,6,6,6,6,2,1,6,5,7,0,5.4,1,0.5477225575051661,5,6,5,5,6,5.6,1,0.5477225575051662,6,6,5,5,6,0.1999999999999993,4.1,1,0.31622776601683794,4,4,4,4,4,4,5,4,4,4,5.384615384615385,2,0.8038369524685005,5,6,6,5,4,4,6,6,6,6,5,4,6,6,6,6,5,6,6,4,6,4,6,5,6,5,"biological sciences (e.g. biochemistry, biology, biotechnology, botany, ecology, evolution, molecular biology, neuroscience, physiology)",NA,2,I'm currently taking chemistry courses.,"Chemist, Chemistry professors",3,1,2,7,0,0,1,0,0,7,0,0,7,No,NA,NA,"South Asian (examples: East Indian, Pakistani, Bangladeshi, Sri Lankan, Indo-Caribbean descent)",NA,No,"My parent(s)/guardian(s) have not completed a university degree, but may hold a high school diploma, college-level certificate/diploma, or an incomplete college or university degree",Woman,NA,No,NA,Heterosexual/Straight,NA,English,NA,"English,Not listed. Please specify (optional):",Nepali,University or equivalent,I don't have a disability or ongoing medical condition,NA,NA,NA,NA,NA,20,4,8,10,72.74137931034483,70,67.17557251908397,76.2014503816794,68.912213740458,100,01
TRU,Chemistry,CHEM 1510,21615c46104417fc,6,0,0,6,6,6,NA,NA,NA,NA,NA,NA,NA,5.6,1,0.5477225575051662,5,6,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A persistent and intelligent person who works hard to accomplish their goals.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,"White (examples: European descent including German, Scottish, etc.)",NA,No,At least one of my parents/guardians has completed a university degree,Man,NA,No,NA,Heterosexual/Straight,NA,English,NA,English,NA,Grade 6,I don't have a disability or ongoing medical condition,NA,NA,NA,NA,NA,10,NA,NA,6,64.49999999999999,75,70.22900763358778,74.07348600508905,72.80216284987276,33.33333333333333,01
TRU,Chemistry,CHEM 1510,2a85e35bc00b9df9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,4,1.9888578520235065,6,6,4,2,2,2,6,2,6,2,6.538461538461538,6,1.2403473458920844,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,5,7,7,6,7,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,"South Asian (examples: East Indian, Pakistani, Bangladeshi, Sri Lankan, Indo-Caribbean descent)",NA,I am not certain,"My parent(s)/guardian(s) have not completed a university degree, but may hold a high school diploma, college-level certificate/diploma, or an incomplete college or university degree",Man,NA,No,NA,Heterosexual/Straight,NA,"English,Hindi,Not listed. Please specify (optional):",Gujrati,Not listed. Please specify (optional):,Gujrati,University or equivalent,I don't have a disability or ongoing medical condition,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.98275862068967,89,96.94656488549617,93.5,94.44338422391857,33.33333333333333,02
TRU,Chemistry,CHEM 1510,2dd54006b28baeab,4,0,0,4,4,4,4.333333333333333,1,0.5773502691896258,4,5,4,0.33333333333333304,5.6,1,0.5477225575051662,5,6,6,5,6,4,0,0,4,4,4,4,4,-1.5999999999999996,3.6,3,1.1737877907772674,5,5,4,4,4,2,2,4,4,2,4.538461538461538,3,0.8593378488473191,5,4,4,7,5,4,4,6,4,4,4,4,6,5,4,4,4,6,4,4,4,4,4,5,5,4,"biological sciences (e.g. biochemistry, biology, biotechnology, botany, ecology, evolution, molecular biology, neuroscience, physiology),chemistry",NA,1,"Chemical engineers, chemists, researchers, nuclear war entrepreneurs",Chemist,3,1,6,3,6,1,6,3,6,4,6,6,3,No,NA,NA,"White (examples: European descent including German, Scottish, etc.)",NA,No,"My parent(s)/guardian(s) have not completed a university degree, but may hold a high school diploma, college-level certificate/diploma, or an incomplete college or university degree",Woman,NA,No,NA,Heterosexual/Straight,NA,English,NA,English,NA,Kindergarten or earlier,"Mental health condition (e.g., depression, anxiety, etc.),Other. Please specify (optional):",Autoimmune disease,Prefer not to answer,NA,"Concentrating, learning, and/or remembering,Emotional, mental, or psychological health/wellbeing,Energy and fatigue,Executive functioning (i.e., planning, focussing, prioritizing tasks, managing time, etc.),Pain,Stair climbing,Using your hands or fingers, or doing other physical activities,Walking distances",NA,NA,10,NA,5,NA,NA,48.854961832061065,59.7,NA,100,01
