school,subject,course,ID,"Disciplinary
Belonging.Score.pre","Disciplinary
Belonging.Score.Range.pre","Disciplinary
Belonging.Score.SD.pre",Community_1.pre,Community_2.pre,Community_3.pre,"Disciplinary
Belonging.Score.post","Disciplinary
Belonging.Score.Range.post","Disciplinary
Belonging.Score.SD.post",Community_1.post,Community_2.post,Community_3.post,"Disciplinary
Belonging.Score.diff",Self-Efficacy.Score.pre,Self-Efficacy.Score.Range.pre,Self-Efficacy.Score.SD.pre,Efficacy_1.pre,Efficacy_2.pre,Efficacy_3.pre,Efficacy_4.pre,Efficacy_5.pre,Self-Efficacy.Score.post,Self-Efficacy.Score.Range.post,Self-Efficacy.Score.SD.post,Efficacy_1.post,Efficacy_2.post,Efficacy_3.post,Efficacy_4.post,Efficacy_5.post,Self-Efficacy.Score.diff,"Social
Belonging.Score.mid","Social
Belonging.Score.Range.mid","Social
Belonging.Score.SD.mid",SocialBelongingMid_1.mid,SocialBelongingMid_2.mid,SocialBelongingMid_3.mid,SocialBelongingMid_4.mid,SocialBelongingMid_5.mid,SocialBelongingMid_6.mid,SocialBelongingMid_7.mid,SocialBelongingMid_8.mid,SocialBelongingMid_9.mid,SocialBelongingMid_10.mid,"Course
Climate.Score.mid","Course
Climate.Score.Range.mid","Course
Climate.Score.SD.mid",Climate1Mid_1.mid,Climate1Mid_2.mid,Climate1Mid_3.mid,Climate1Mid_4.mid,Climate1Mid_5.mid,Climate1Mid_6.mid,Climate1Mid_7.mid,Climate1Mid_8.mid,Climate1Mid_9.mid,Climate2Mid_1.mid,Climate2Mid_2.mid,Climate2Mid_3.mid,Climate2Mid_4.mid,Climate2Mid_5.mid,Climate2Mid_6.mid,Climate2Mid_7.mid,Climate2Mid_8.mid,Climate2Mid_9.mid,Climate3Mid_1.mid,Climate3Mid_2.mid,Climate3Mid_3.mid,Climate3Mid_4.mid,Climate3Mid_5.mid,Climate3Mid_6.mid,Climate3Mid_7.mid,Climate3Mid_8.mid,Major,Major_9_TEXT,CourseInfluMaj_1,DiscPicture.pre,DiscPicture.post,survey,BarriersClosed1_1,BarriersClosed1_2,BarriersClosed1_3,BarriersClosed1_4,BarriersClosed1_5,BarriersClosed1_6,BarriersClosed2_7,BarriersClosed2_8,BarriersClosed2_9,BarriersClosed2_10,BarriersClosed2_11,BarriersClosed2_12,IndigenousIdentity,TwoSpirit,GeographicOrigin,RaceIdentity,RaceIdentity_10_TEXT,Racialization,ParentEducation,GenderIdentity,GenderIdentity_5_TEXT,TransIdentity,TransIdentity_4_TEXT,SexualIdentity,SexualIdentity_7_TEXT,LanguagesSchool,LanguagesSchool_18_TEXT,LanguagesHome,LanguagesHome_18_TEXT,WhenCanada,DisabilitySpecific,DisabilitySpecific_9_TEXT,DisabilityImpacts1,DisabilityImpacts1_6_TEXT,DisabilityImpacts2,DisabilityImpacts2_13_TEXT,PaidWork_5,Enrichment_1,Commuting_1,PersonalCommitments_1,NonExam,TermExam,FinalExam,TotalGrade,WeightedExam,Other,section
YorkU,Chemistry,CHEM 1000,586f8b5b0d5996ca,NA,NA,NA,NA,NA,NA,4,2,1,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,2,0.8366600265340756,5,6,4,4,5,NA,3,5,1.699673171197595,6,5,5,2,2,2,3,2,2,1,4.769230769230769,4,1.1421976118935746,4,4,6,6,6,6,5,6,6,4,3,5,5,4,4,6,6,5,4,6,5,5,4,4,2,3,computer science,NA,0,NA,People who are actively trying to pursue a degree in Chemistry or Chemistry-adjacent degree. Also people who have a an interest in the field of Chemistry but do not work this field.,3,7,6,9,10,7,5,2,6,2,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.26693333333333,53.334,77.03,82.92308,61.443,NA,
YorkU,Chemistry,CHEM 1000,5bcfb6b235f0f229,4,0,0,4,4,4,NA,NA,NA,NA,NA,NA,NA,4,0,0,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,conducting research in a chemistry based lab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,"Middle Eastern / West Asian (examples: Arab, Persian, Egyptian, Iranian, Turkish)",NA,No,At least one of my parents/guardians has completed a university degree,Woman,NA,No,NA,Heterosexual/Straight,NA,Arabic,NA,Arabic,NA,Kindergarten or earlier,I don't have a disability or ongoing medical condition,NA,NA,NA,NA,NA,7,2,7,2,NA,NA,NA,NA,NA,NA,NA
YorkU,Chemistry,CHEM 1000,5e199a24e7bc137c,3.3333333333333335,1,0.5773502691896258,3,4,3,2.3333333333333335,3,1.5275252316519468,1,4,2,-1,3.6,1,0.5477225575051661,3,4,3,4,4,3.6,2,0.8944271909999159,3,5,3,4,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other (e.g. social sciences, humanities, business)",Kinesiology,0,"The type of person I picture when thinking of this community is a person who is highly interested in having a career revolved around this.
",I think of a person who is highly smart and passionate about this degree,3,6,6,6,6,4,4,4,6,5,4,5,6,No,NA,NA,"South Asian (examples: East Indian, Pakistani, Bangladeshi, Sri Lankan, Indo-Caribbean descent)",NA,Yes,I am not certain,Woman,NA,No,NA,Heterosexual/Straight,NA,"English,Punjabi",NA,Punjabi,NA,Kindergarten or earlier,I don't have a disability or ongoing medical condition,NA,NA,NA,NA,NA,NA,3,NA,NA,67.99166666666666,24.290999999999997,53.38,57.155,33.60857142857143,NA,
YorkU,Chemistry,CHEM 1000,5ea290a09c05be84,NA,NA,NA,NA,NA,NA,4.666666666666667,4,2.309401076758503,2,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,1.4142135623730951,5,7,7,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"biological sciences (e.g. biochemistry, biology, biotechnology, botany, ecology, evolution, molecular biology, neuroscience, physiology)",NA,0,NA,I picture intelligent driven individuals who share a passion for chemistry,3,4,5,5,7,3,4,5,3,5,3,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.02903333333333,45.5,71.62,77.32846,55.20028571428572,NA,
YorkU,Chemistry,CHEM 1000,5f6c69c928eb84e9,NA,NA,NA,NA,NA,NA,5,2,1,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,3,1.0954451150103321,3,6,5,5,5,NA,4.1,3,1.1972189997378648,5,5,5,3,5,5,2,5,3,3,4.846153846153846,2,0.6126863923612269,5,5,5,6,6,5,5,5,5,5,4,5,4,5,5,4,4,4,5,5,4,5,4,6,5,5,"other (e.g. social sciences, humanities, business)",Kinesiology and health sciences,-1,NA,Someone with a love for science and math,3,6,5,7,4,3,3,6,7,4,5,4,7,No,NA,NA,"Middle Eastern / West Asian (examples: Arab, Persian, Egyptian, Iranian, Turkish),White (examples: European descent including German, Scottish, etc.)",NA,I am not certain,"My parent(s)/guardian(s) have not completed a university degree, but may hold a high school diploma, college-level certificate/diploma, or an incomplete college or university degree",Woman,NA,No,NA,Heterosexual/Straight,NA,English,NA,English,NA,Kindergarten or earlier,"Mental health condition (e.g., depression, anxiety, etc.)",NA,Prefer not to answer,NA,Prefer not to answer,NA,20,10,12,25,73.17748333333336,30.125,55.07,64.61487000000001,38.87814285714286,NA,
YorkU,Chemistry,CHEM 1000,5ff6c572a3449983,3.6666666666666665,4,2.081665999466133,2,3,6,NA,NA,NA,NA,NA,NA,NA,4.2,2,0.8366600265340756,4,5,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,4,1.3374935098492586,4,5,3,4,5,6,2,3,3,2,4.5,5,1.3038404810405297,6,4,5,5,6,4,4,4,5,4,7,4,2,4,2,4,4,5,5,6,5,4,2,4,5,7,NA,NA,NA,Analytical and intellectual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,"East Asian (examples: Chinese, Korean, Japanese, Taiwanese descent),White (examples: European descent including German, Scottish, etc.)",NA,No,At least one of my parents/guardians has completed a university degree,Man,NA,No,NA,Heterosexual/Straight,NA,English,NA,English,NA,Kindergarten or earlier,I don't have a disability or ongoing medical condition,NA,NA,NA,NA,NA,0,10,5,0,60.40421666666666,50,28.38,58.80479,42.442571428571426,NA,
YorkU,Chemistry,CHEM 1000,65d3d0f8b2ddbce1,3.3333333333333335,3,1.5275252316519465,3,2,5,NA,NA,NA,NA,NA,NA,NA,5.6,1,0.5477225575051662,5,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,1,0.3162277660168379,7,7,6,7,7,7,7,7,7,7,6.269230769230769,6,1.2184479408720688,6,6,5,7,6,7,6,7,6,7,6,7,7,7,7,7,7,7,6,6,6,7,6,6,7,1,NA,NA,NA,"Working in a lab with chemicals, testing materials and substances. Possibly a pharmacist?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,"Middle Eastern / West Asian (examples: Arab, Persian, Egyptian, Iranian, Turkish)",NA,No,At least one of my parents/guardians has completed a university degree,Woman,NA,No,NA,Heterosexual/Straight,NA,"Arabic,English,French",NA,Arabic,NA,Grade 4,I don't have a disability or ongoing medical condition,NA,NA,NA,NA,NA,0,15,10,30,61.608124999999994,29.25,NA,35.991585,NA,NA,
YorkU,Chemistry,CHEM 1000,674575b3ceed5576,7,0,0,7,7,7,6,0,0,6,6,6,-1,6.8,1,0.44721359549995787,6,7,7,7,7,6.2,1,0.44721359549995793,6,6,6,6,7,-0.5999999999999996,4.9,4,1.1972189997378648,5,6,5,4,5,4,7,4,6,3,6.1923076923076925,5,1.233506571339797,7,7,6,7,7,7,6,7,7,6,6,6,6,7,7,7,6,7,7,3,7,6,6,6,2,5,"biological sciences (e.g. biochemistry, biology, biotechnology, botany, ecology, evolution, molecular biology, neuroscience, physiology)",NA,3,"The type of person I picture when I think about the chemistry community is a chemist trying their best to make our daily lives better. They do this by their industrial innovations such as the food we eat, the clothes we wear, travelling around, using technology, treatment of illnesses, and we utilize electricity.
",NA,3,10,0,0,0,0,0,0,0,0,0,0,10,No,NA,NA,"South Asian (examples: East Indian, Pakistani, Bangladeshi, Sri Lankan, Indo-Caribbean descent)",NA,No,"My parent(s)/guardian(s) have not completed a university degree, but may hold a high school diploma, college-level certificate/diploma, or an incomplete college or university degree",Woman,NA,No,NA,Heterosexual/Straight,NA,"English,Punjabi",NA,Punjabi,NA,Grade 6,I don't have a disability or ongoing medical condition,NA,NA,NA,NA,NA,0,10,15,25,56.61454166666667,38.334,25.68,52.073075,35.32371428571429,NA,
YorkU,Chemistry,CHEM 1000,6765fa76cdd5a0ec,6,0,0,6,6,6,4.666666666666667,2,1.1547005383792517,4,6,4,-1.333333333333333,5.2,2,0.8366600265340756,4,6,6,5,5,5.2,3,1.3038404810405297,3,6,6,5,6,0,1.6,6,1.8973665961010278,1,1,1,1,1,1,7,1,1,1,5.576923076923077,4,1.3615601910478115,3,6,5,7,7,7,4,7,6,6,5,7,4,4,4,7,6,5,7,7,5,4,4,7,7,4,"biological sciences (e.g. biochemistry, biology, biotechnology, botany, ecology, evolution, molecular biology, neuroscience, physiology)",NA,NA,"Well trained, skilled and deidicated person.",A disciplined and hard working student or worker in chemistry field.,3,6,5,6,4,6,4,5,8,4,5,4,7,No,NA,NA,"Latino (examples: Latin American, Hispanic descent)",NA,I am not certain,"My parent(s)/guardian(s) have not completed a university degree, but may hold a high school diploma, college-level certificate/diploma, or an incomplete college or university degree",Man,NA,No,NA,Heterosexual/Straight,NA,"English,Spanish,Not listed. Please specify (optional):",Portuguese,Not listed. Please specify (optional):,Portuguese,Grade 9,"Mental health condition (e.g., depression, anxiety, etc.)",NA,None of the above,NA,"Concentrating, learning, and/or remembering,Emotional, mental, or psychological health/wellbeing,Executive functioning (i.e., planning, focussing, prioritizing tasks, managing time, etc.)",NA,0,7,8,15,67.41941666666666,36.166,39.53,58.34311,38.38214285714285,NA,
YorkU,Chemistry,CHEM 1000,68da2c5f03df9df1,NA,NA,NA,NA,NA,NA,3.3333333333333335,2,1.1547005383792515,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,1.224744871391589,7,7,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,undecided,NA,0,NA,A person working in the healthcare community,3,0,6,3,6,0,0,4,8,5,5,0,10,No,NA,NA,"Middle Eastern / West Asian (examples: Arab, Persian, Egyptian, Iranian, Turkish)",NA,No,At least one of my parents/guardians has completed a university degree,Woman,NA,No,NA,Heterosexual/Straight,NA,English,NA,Arabic,NA,Grade 2,I don't have a disability or ongoing medical condition,NA,NA,NA,NA,NA,0,10,5,1,66.160225,NA,NA,24.583304999999996,NA,NA,
